year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2013,J,Information Media and Telecommunications,g_100-199,Rolling mean employees,1701,COUNT
2013,J,Information Media and Telecommunications,g_100-199,Salaries and wages paid,154,DOLLARS(millions)
2013,J,Information Media and Telecommunications,g_100-199,"Sales, government funding, grants and subsidies",516,DOLLARS(millions)
2013,J,Information Media and Telecommunications,g_100-199,Total income,523,DOLLARS(millions)
2013,J,Information Media and Telecommunications,g_100-199,Total expenditure,482,DOLLARS(millions)
2013,J,Information Media and Telecommunications,g_100-199,Operating profit before tax,44,DOLLARS(millions)
2013,J,Information Media and Telecommunications,g_100-199,Total assets,C,DOLLARS(millions)
2013,J,Information Media and Telecommunications,g_100-199,Fixed tangible assets,158,DOLLARS(millions)
2013,J,Information Media and Telecommunications,h_200+,Activity unit,18,COUNT
2013,J,Information Media and Telecommunications,h_200+,Rolling mean employees,21318,COUNT
2013,J,Information Media and Telecommunications,h_200+,Salaries and wages paid,1628,DOLLARS(millions)
2013,J,Information Media and Telecommunications,h_200+,"Sales, government funding, grants and subsidies",8715,DOLLARS(millions)
2013,J,Information Media and Telecommunications,h_200+,Total income,9059,DOLLARS(millions)
2013,J,Information Media and Telecommunications,h_200+,Total expenditure,8930,DOLLARS(millions)
2013,J,Information Media and Telecommunications,h_200+,Operating profit before tax,182,DOLLARS(millions)
2013,J,Information Media and Telecommunications,h_200+,Total assets,16736,DOLLARS(millions)
2013,J,Information Media and Telecommunications,h_200+,Fixed tangible assets,5715,DOLLARS(millions)
2013,J,Information Media and Telecommunications,i_Industry_Total,Activity unit,5118,COUNT
2013,J,Information Media and Telecommunications,i_Industry_Total,Rolling mean employees,31080,COUNT
2013,J,Information Media and Telecommunications,i_Industry_Total,Salaries and wages paid,2323,DOLLARS(millions)
2013,J,Information Media and Telecommunications,i_Industry_Total,"Sales, government funding, grants and subsidies",13191,DOLLARS(millions)
2013,J,Information Media and Telecommunications,i_Industry_Total,Total income,13700,DOLLARS(millions)
2013,J,Information Media and Telecommunications,i_Industry_Total,Total expenditure,12864,DOLLARS(millions)
2013,J,Information Media and Telecommunications,i_Industry_Total,Operating profit before tax,858,DOLLARS(millions)
2013,J,Information Media and Telecommunications,i_Industry_Total,Total assets,23472,DOLLARS(millions)
2013,J,Information Media and Telecommunications,i_Industry_Total,Fixed tangible assets,7007,DOLLARS(millions)
2013,K,Financial and Insurance Services,a_0,Activity unit,25482,COUNT
2013,K,Financial and Insurance Services,a_0,Rolling mean employees,0,COUNT
2013,K,Financial and Insurance Services,a_0,Salaries and wages paid,319,DOLLARS(millions)
2013,K,Financial and Insurance Services,a_0,"Sales, government funding, grants and subsidies",4289,DOLLARS(millions)
2013,K,Financial and Insurance Services,a_0,Total income,24904,DOLLARS(millions)
2013,K,Financial and Insurance Services,a_0,Total expenditure,16832,DOLLARS(millions)
2013,K,Financial and Insurance Services,a_0,Operating profit before tax,10034,DOLLARS(millions)
2013,K,Financial and Insurance Services,a_0,Total assets,356417,DOLLARS(millions)
2013,K,Financial and Insurance Services,a_0,Fixed tangible assets,15739,DOLLARS(millions)
2013,K,Financial and Insurance Services,b_1-5,Activity unit,2406,COUNT
2013,K,Financial and Insurance Services,b_1-5,Rolling mean employees,4290,COUNT
2013,K,Financial and Insurance Services,b_1-5,Salaries and wages paid,306,DOLLARS(millions)
2013,K,Financial and Insurance Services,b_1-5,"Sales, government funding, grants and subsidies",1071,DOLLARS(millions)
2013,K,Financial and Insurance Services,b_1-5,Total income,2693,DOLLARS(millions)
2013,K,Financial and Insurance Services,b_1-5,Total expenditure,1908,DOLLARS(millions)
2013,K,Financial and Insurance Services,b_1-5,Operating profit before tax,804,DOLLARS(millions)
2013,K,Financial and Insurance Services,b_1-5,Total assets,28208,DOLLARS(millions)
2013,K,Financial and Insurance Services,b_1-5,Fixed tangible assets,930,DOLLARS(millions)
2013,K,Financial and Insurance Services,c_6-9,Activity unit,270,COUNT
2013,K,Financial and Insurance Services,c_6-9,Rolling mean employees,1893,COUNT
2013,K,Financial and Insurance Services,c_6-9,Salaries and wages paid,176,DOLLARS(millions)
2013,K,Financial and Insurance Services,c_6-9,"Sales, government funding, grants and subsidies",468,DOLLARS(millions)
2013,K,Financial and Insurance Services,c_6-9,Total income,897,DOLLARS(millions)
2013,K,Financial and Insurance Services,c_6-9,Total expenditure,594,DOLLARS(millions)
2013,K,Financial and Insurance Services,c_6-9,Operating profit before tax,201,DOLLARS(millions)
2013,K,Financial and Insurance Services,c_6-9,Total assets,4458,DOLLARS(millions)
2013,K,Financial and Insurance Services,c_6-9,Fixed tangible assets,165,DOLLARS(millions)
2013,K,Financial and Insurance Services,d_10-19,Activity unit,177,COUNT
2013,K,Financial and Insurance Services,d_10-19,Rolling mean employees,2427,COUNT
2013,K,Financial and Insurance Services,d_10-19,Salaries and wages paid,205,DOLLARS(millions)
2013,K,Financial and Insurance Services,d_10-19,"Sales, government funding, grants and subsidies",553,DOLLARS(millions)
2013,K,Financial and Insurance Services,d_10-19,Total income,874,DOLLARS(millions)
2013,K,Financial and Insurance Services,d_10-19,Total expenditure,732,DOLLARS(millions)
2013,K,Financial and Insurance Services,d_10-19,Operating profit before tax,138,DOLLARS(millions)
2013,K,Financial and Insurance Services,d_10-19,Total assets,7631,DOLLARS(millions)
2013,K,Financial and Insurance Services,d_10-19,Fixed tangible assets,103,DOLLARS(millions)
2013,K,Financial and Insurance Services,e_20-49,Activity unit,69,COUNT
2013,K,Financial and Insurance Services,e_20-49,Rolling mean employees,2226,COUNT
2013,K,Financial and Insurance Services,e_20-49,Salaries and wages paid,231,DOLLARS(millions)
2013,K,Financial and Insurance Services,e_20-49,"Sales, government funding, grants and subsidies",528,DOLLARS(millions)
2013,K,Financial and Insurance Services,e_20-49,Total income,1436,DOLLARS(millions)
2013,K,Financial and Insurance Services,e_20-49,Total expenditure,1041,DOLLARS(millions)
2013,K,Financial and Insurance Services,e_20-49,Operating profit before tax,430,DOLLARS(millions)
2013,K,Financial and Insurance Services,e_20-49,Total assets,15846,DOLLARS(millions)
2013,K,Financial and Insurance Services,e_20-49,Fixed tangible assets,153,DOLLARS(millions)
2013,K,Financial and Insurance Services,f_50-99,Activity unit,27,COUNT
2013,K,Financial and Insurance Services,f_50-99,Rolling mean employees,1881,COUNT
2013,K,Financial and Insurance Services,f_50-99,Salaries and wages paid,153,DOLLARS(millions)
2013,K,Financial and Insurance Services,f_50-99,"Sales, government funding, grants and subsidies",789,DOLLARS(millions)
2013,K,Financial and Insurance Services,f_50-99,Total income,1357,DOLLARS(millions)
2013,K,Financial and Insurance Services,f_50-99,Total expenditure,1741,DOLLARS(millions)
2013,K,Financial and Insurance Services,f_50-99,Operating profit before tax,52,DOLLARS(millions)
2013,K,Financial and Insurance Services,f_50-99,Total assets,8742,DOLLARS(millions)
2013,K,Financial and Insurance Services,f_50-99,Fixed tangible assets,C,DOLLARS(millions)
2013,K,Financial and Insurance Services,g_100-199,Activity unit,33,COUNT
2013,K,Financial and Insurance Services,g_100-199,Rolling mean employees,4434,COUNT
2013,K,Financial and Insurance Services,g_100-199,Salaries and wages paid,358,DOLLARS(millions)
2013,K,Financial and Insurance Services,g_100-199,"Sales, government funding, grants and subsidies",908,DOLLARS(millions)
2013,K,Financial and Insurance Services,g_100-199,Total income,2278,DOLLARS(millions)
2013,K,Financial and Insurance Services,g_100-199,Total expenditure,2020,DOLLARS(millions)
2013,K,Financial and Insurance Services,g_100-199,Operating profit before tax,109,DOLLARS(millions)
2013,K,Financial and Insurance Services,g_100-199,Total assets,42859,DOLLARS(millions)
2013,K,Financial and Insurance Services,g_100-199,Fixed tangible assets,C,DOLLARS(millions)
2013,K,Financial and Insurance Services,h_200+,Activity unit,36,COUNT
2013,K,Financial and Insurance Services,h_200+,Rolling mean employees,40332,COUNT
2013,K,Financial and Insurance Services,h_200+,Salaries and wages paid,3211,DOLLARS(millions)
2013,K,Financial and Insurance Services,h_200+,"Sales, government funding, grants and subsidies",6970,DOLLARS(millions)
2013,K,Financial and Insurance Services,h_200+,Total income,30031,DOLLARS(millions)
2013,K,Financial and Insurance Services,h_200+,Total expenditure,23865,DOLLARS(millions)
2013,K,Financial and Insurance Services,h_200+,Operating profit before tax,6016,DOLLARS(millions)
2013,K,Financial and Insurance Services,h_200+,Total assets,462668,DOLLARS(millions)
2013,K,Financial and Insurance Services,h_200+,Fixed tangible assets,627,DOLLARS(millions)
2013,K,Financial and Insurance Services,i_Industry_Total,Activity unit,28491,COUNT
2013,K,Financial and Insurance Services,i_Industry_Total,Rolling mean employees,57483,COUNT
2013,K,Financial and Insurance Services,i_Industry_Total,Salaries and wages paid,4959,DOLLARS(millions)
2013,K,Financial and Insurance Services,i_Industry_Total,"Sales, government funding, grants and subsidies",15576,DOLLARS(millions)
2013,K,Financial and Insurance Services,i_Industry_Total,Total income,64471,DOLLARS(millions)
2013,K,Financial and Insurance Services,i_Industry_Total,Total expenditure,48732,DOLLARS(millions)
2013,K,Financial and Insurance Services,i_Industry_Total,Operating profit before tax,17783,DOLLARS(millions)
2013,K,Financial and Insurance Services,i_Industry_Total,Total assets,926830,DOLLARS(millions)
2013,K,Financial and Insurance Services,i_Industry_Total,Fixed tangible assets,18048,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",a_0,Activity unit,64485,COUNT
2013,L,"Rental, Hiring and Real Estate Services",a_0,Rolling mean employees,0,COUNT
2013,L,"Rental, Hiring and Real Estate Services",a_0,Salaries and wages paid,357,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",a_0,"Sales, government funding, grants and subsidies",13081,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",a_0,Total income,15726,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",a_0,Total expenditure,9963,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",a_0,Operating profit before tax,4721,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",a_0,Total assets,156475,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",a_0,Fixed tangible assets,109728,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",b_1-5,Activity unit,5271,COUNT
2013,L,"Rental, Hiring and Real Estate Services",b_1-5,Rolling mean employees,8598,COUNT
2013,L,"Rental, Hiring and Real Estate Services",b_1-5,Salaries and wages paid,318,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",b_1-5,"Sales, government funding, grants and subsidies",2324,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",b_1-5,Total income,2626,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",b_1-5,Total expenditure,2065,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",b_1-5,Operating profit before tax,482,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",b_1-5,Total assets,15530,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",b_1-5,Fixed tangible assets,11278,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",c_6-9,Activity unit,504,COUNT
2013,L,"Rental, Hiring and Real Estate Services",c_6-9,Rolling mean employees,3492,COUNT
2013,L,"Rental, Hiring and Real Estate Services",c_6-9,Salaries and wages paid,160,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",c_6-9,"Sales, government funding, grants and subsidies",624,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",c_6-9,Total income,737,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",c_6-9,Total expenditure,652,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",c_6-9,Operating profit before tax,33,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",c_6-9,Total assets,2055,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",c_6-9,Fixed tangible assets,1342,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",d_10-19,Activity unit,240,COUNT
2013,L,"Rental, Hiring and Real Estate Services",d_10-19,Rolling mean employees,3048,COUNT
2013,L,"Rental, Hiring and Real Estate Services",d_10-19,Salaries and wages paid,174,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",d_10-19,"Sales, government funding, grants and subsidies",687,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",d_10-19,Total income,754,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",d_10-19,Total expenditure,655,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",d_10-19,Operating profit before tax,99,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",d_10-19,Total assets,1719,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",d_10-19,Fixed tangible assets,607,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",e_20-49,Activity unit,105,COUNT
2013,L,"Rental, Hiring and Real Estate Services",e_20-49,Rolling mean employees,3189,COUNT
2013,L,"Rental, Hiring and Real Estate Services",e_20-49,Salaries and wages paid,158,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",e_20-49,"Sales, government funding, grants and subsidies",675,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",e_20-49,Total income,729,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",e_20-49,Total expenditure,670,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",e_20-49,Operating profit before tax,31,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",e_20-49,Total assets,2076,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",e_20-49,Fixed tangible assets,1331,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",f_50-99,Activity unit,27,COUNT
2013,L,"Rental, Hiring and Real Estate Services",f_50-99,Rolling mean employees,1812,COUNT
2013,L,"Rental, Hiring and Real Estate Services",f_50-99,Salaries and wages paid,104,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",f_50-99,"Sales, government funding, grants and subsidies",517,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",f_50-99,Total income,548,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",f_50-99,Total expenditure,489,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",f_50-99,Operating profit before tax,43,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",f_50-99,Total assets,1213,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",f_50-99,Fixed tangible assets,952,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",g_100-199,Activity unit,18,COUNT
2013,L,"Rental, Hiring and Real Estate Services",g_100-199,Rolling mean employees,2301,COUNT
2013,L,"Rental, Hiring and Real Estate Services",g_100-199,Salaries and wages paid,164,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",g_100-199,"Sales, government funding, grants and subsidies",647,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",g_100-199,Total income,767,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",g_100-199,Total expenditure,666,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",g_100-199,Operating profit before tax,89,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",g_100-199,Total assets,1967,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",g_100-199,Fixed tangible assets,782,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",h_200+,Activity unit,6,COUNT
2013,L,"Rental, Hiring and Real Estate Services",h_200+,Rolling mean employees,2841,COUNT
2013,L,"Rental, Hiring and Real Estate Services",h_200+,Salaries and wages paid,109,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",h_200+,"Sales, government funding, grants and subsidies",741,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",h_200+,Total income,747,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",h_200+,Total expenditure,675,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",h_200+,Operating profit before tax,77,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",h_200+,Total assets,887,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",h_200+,Fixed tangible assets,380,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,Activity unit,70656,COUNT
2013,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,Rolling mean employees,25275,COUNT
2013,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,Salaries and wages paid,1543,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,"Sales, government funding, grants and subsidies",19296,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,Total income,22634,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,Total expenditure,15836,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,Operating profit before tax,5575,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,Total assets,181922,DOLLARS(millions)
2013,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,Fixed tangible assets,126399,DOLLARS(millions)
2013,M,"Professional, Scientific and Technical Services",a_0,Activity unit,34587,COUNT
2013,M,"Professional, Scientific and Technical Services",a_0,Rolling mean employees,0,COUNT
2013,M,"Professional, Scientific and Technical Services",a_0,Salaries and wages paid,1409,DOLLARS(millions)
2013,M,"Professional, Scientific and Technical Services",a_0,"Sales, government funding, grants and subsidies",5673,DOLLARS(millions)
2013,M,"Professional, Scientific and Technical Services",a_0,Total income,5915,DOLLARS(millions)
2013,M,"Professional, Scientific and Technical Services",a_0,Total expenditure,4386,DOLLARS(millions)
2013,M,"Professional, Scientific and Technical Services",a_0,Operating profit before tax,1499,DOLLARS(millions)
2013,M,"Professional, Scientific and Technical Services",a_0,Total assets,5747,DOLLARS(millions)
2013,M,"Professional, Scientific and Technical Services",a_0,Fixed tangible assets,1311,DOLLARS(millions)
2013,M,"Professional, Scientific and Technical Services",b_1-5,Activity unit,12309,COUNT
2013,M,"Professional, Scientific and Technical Services",b_1-5,Rolling mean employees,22275,COUNT
2013,M,"Professional, Scientific and Technical Services",b_1-5,Salaries and wages paid,1481,DOLLARS(millions)
2014,G,Retail Trade,e_20-49,Salaries and wages paid,689,DOLLARS(millions)
2014,G,Retail Trade,e_20-49,"Sales, government funding, grants and subsidies",6426,DOLLARS(millions)
2014,G,Retail Trade,e_20-49,Total income,6443,DOLLARS(millions)
2014,G,Retail Trade,e_20-49,Total expenditure,6311,DOLLARS(millions)
2014,G,Retail Trade,e_20-49,Operating profit before tax,200,DOLLARS(millions)
2014,G,Retail Trade,e_20-49,Total assets,1911,DOLLARS(millions)
2014,G,Retail Trade,e_20-49,Fixed tangible assets,253,DOLLARS(millions)
2014,G,Retail Trade,f_50-99,Activity unit,237,COUNT
2014,G,Retail Trade,f_50-99,Rolling mean employees,16440,COUNT
2014,G,Retail Trade,f_50-99,Salaries and wages paid,529,DOLLARS(millions)
2014,G,Retail Trade,f_50-99,"Sales, government funding, grants and subsidies",5483,DOLLARS(millions)
2014,G,Retail Trade,f_50-99,Total income,5505,DOLLARS(millions)
2014,G,Retail Trade,f_50-99,Total expenditure,5446,DOLLARS(millions)
2014,G,Retail Trade,f_50-99,Operating profit before tax,94,DOLLARS(millions)
2014,G,Retail Trade,f_50-99,Total assets,1465,DOLLARS(millions)
2014,G,Retail Trade,f_50-99,Fixed tangible assets,307,DOLLARS(millions)
2014,G,Retail Trade,g_100-199,Activity unit,159,COUNT
2014,G,Retail Trade,g_100-199,Rolling mean employees,22563,COUNT
2014,G,Retail Trade,g_100-199,Salaries and wages paid,685,DOLLARS(millions)
2014,G,Retail Trade,g_100-199,"Sales, government funding, grants and subsidies",7002,DOLLARS(millions)
2014,G,Retail Trade,g_100-199,Total income,7034,DOLLARS(millions)
2014,G,Retail Trade,g_100-199,Total expenditure,6846,DOLLARS(millions)
2014,G,Retail Trade,g_100-199,Operating profit before tax,248,DOLLARS(millions)
2014,G,Retail Trade,g_100-199,Total assets,2122,DOLLARS(millions)
2014,G,Retail Trade,g_100-199,Fixed tangible assets,395,DOLLARS(millions)
2014,G,Retail Trade,h_200+,Activity unit,117,COUNT
2014,G,Retail Trade,h_200+,Rolling mean employees,78795,COUNT
2014,G,Retail Trade,h_200+,Salaries and wages paid,2485,DOLLARS(millions)
2014,G,Retail Trade,h_200+,"Sales, government funding, grants and subsidies",21436,DOLLARS(millions)
2014,G,Retail Trade,h_200+,Total income,21577,DOLLARS(millions)
2014,G,Retail Trade,h_200+,Total expenditure,20706,DOLLARS(millions)
2014,G,Retail Trade,h_200+,Operating profit before tax,913,DOLLARS(millions)
2014,G,Retail Trade,h_200+,Total assets,9164,DOLLARS(millions)
2014,G,Retail Trade,h_200+,Fixed tangible assets,2282,DOLLARS(millions)
2014,G,Retail Trade,i_Industry_Total,Activity unit,26445,COUNT
2014,G,Retail Trade,i_Industry_Total,Rolling mean employees,194970,COUNT
2014,G,Retail Trade,i_Industry_Total,Salaries and wages paid,6556,DOLLARS(millions)
2014,G,Retail Trade,i_Industry_Total,"Sales, government funding, grants and subsidies",60208,DOLLARS(millions)
2014,G,Retail Trade,i_Industry_Total,Total income,60528,DOLLARS(millions)
2014,G,Retail Trade,i_Industry_Total,Total expenditure,58592,DOLLARS(millions)
2014,G,Retail Trade,i_Industry_Total,Operating profit before tax,C,DOLLARS(millions)
2014,G,Retail Trade,i_Industry_Total,Total assets,23181,DOLLARS(millions)
2014,G,Retail Trade,i_Industry_Total,Fixed tangible assets,5063,DOLLARS(millions)
2014,H,Accommodation and Food Services,a_0,Activity unit,5244,COUNT
2014,H,Accommodation and Food Services,a_0,Rolling mean employees,0,COUNT
2014,H,Accommodation and Food Services,a_0,Salaries and wages paid,77,DOLLARS(millions)
2014,H,Accommodation and Food Services,a_0,"Sales, government funding, grants and subsidies",672,DOLLARS(millions)
2014,H,Accommodation and Food Services,a_0,Total income,695,DOLLARS(millions)
2014,H,Accommodation and Food Services,a_0,Total expenditure,628,DOLLARS(millions)
2014,H,Accommodation and Food Services,a_0,Operating profit before tax,61,DOLLARS(millions)
2014,H,Accommodation and Food Services,a_0,Total assets,1798,DOLLARS(millions)
2014,H,Accommodation and Food Services,a_0,Fixed tangible assets,1325,DOLLARS(millions)
2014,H,Accommodation and Food Services,b_1-5,Activity unit,7767,COUNT
2014,H,Accommodation and Food Services,b_1-5,Rolling mean employees,19074,COUNT
2014,H,Accommodation and Food Services,b_1-5,Salaries and wages paid,408,DOLLARS(millions)
2014,H,Accommodation and Food Services,b_1-5,"Sales, government funding, grants and subsidies",1880,DOLLARS(millions)
2014,H,Accommodation and Food Services,b_1-5,Total income,1900,DOLLARS(millions)
2014,H,Accommodation and Food Services,b_1-5,Total expenditure,1853,DOLLARS(millions)
2014,H,Accommodation and Food Services,b_1-5,Operating profit before tax,53,DOLLARS(millions)
2014,H,Accommodation and Food Services,b_1-5,Total assets,1937,DOLLARS(millions)
2014,H,Accommodation and Food Services,b_1-5,Fixed tangible assets,1143,DOLLARS(millions)
2014,H,Accommodation and Food Services,c_6-9,Activity unit,2439,COUNT
2014,H,Accommodation and Food Services,c_6-9,Rolling mean employees,17625,COUNT
2014,H,Accommodation and Food Services,c_6-9,Salaries and wages paid,375,DOLLARS(millions)
2014,H,Accommodation and Food Services,c_6-9,"Sales, government funding, grants and subsidies",C,DOLLARS(millions)
2014,H,Accommodation and Food Services,c_6-9,Total income,1245,DOLLARS(millions)
2014,H,Accommodation and Food Services,c_6-9,Total expenditure,1242,DOLLARS(millions)
2014,H,Accommodation and Food Services,c_6-9,Operating profit before tax,-1,DOLLARS(millions)
2014,H,Accommodation and Food Services,c_6-9,Total assets,966,DOLLARS(millions)
2014,H,Accommodation and Food Services,c_6-9,Fixed tangible assets,501,DOLLARS(millions)
2014,H,Accommodation and Food Services,d_10-19,Activity unit,2190,COUNT
2014,H,Accommodation and Food Services,d_10-19,Rolling mean employees,29115,COUNT
2014,H,Accommodation and Food Services,d_10-19,Salaries and wages paid,645,DOLLARS(millions)
2014,H,Accommodation and Food Services,d_10-19,"Sales, government funding, grants and subsidies",2007,DOLLARS(millions)
2014,H,Accommodation and Food Services,d_10-19,Total income,2038,DOLLARS(millions)
2014,H,Accommodation and Food Services,d_10-19,Total expenditure,1977,DOLLARS(millions)
2014,H,Accommodation and Food Services,d_10-19,Operating profit before tax,C,DOLLARS(millions)
2014,H,Accommodation and Food Services,d_10-19,Total assets,1335,DOLLARS(millions)
2014,H,Accommodation and Food Services,d_10-19,Fixed tangible assets,765,DOLLARS(millions)
2014,H,Accommodation and Food Services,e_20-49,Activity unit,936,COUNT
2014,H,Accommodation and Food Services,e_20-49,Rolling mean employees,26205,COUNT
2014,H,Accommodation and Food Services,e_20-49,Salaries and wages paid,606,DOLLARS(millions)
2014,H,Accommodation and Food Services,e_20-49,"Sales, government funding, grants and subsidies",1853,DOLLARS(millions)
2014,H,Accommodation and Food Services,e_20-49,Total income,1876,DOLLARS(millions)
2014,H,Accommodation and Food Services,e_20-49,Total expenditure,1793,DOLLARS(millions)
2014,H,Accommodation and Food Services,e_20-49,Operating profit before tax,88,DOLLARS(millions)
2014,H,Accommodation and Food Services,e_20-49,Total assets,1459,DOLLARS(millions)
2014,H,Accommodation and Food Services,e_20-49,Fixed tangible assets,950,DOLLARS(millions)
2014,H,Accommodation and Food Services,f_50-99,Activity unit,153,COUNT
2014,H,Accommodation and Food Services,f_50-99,Rolling mean employees,10623,COUNT
2014,H,Accommodation and Food Services,f_50-99,Salaries and wages paid,227,DOLLARS(millions)
2014,H,Accommodation and Food Services,f_50-99,"Sales, government funding, grants and subsidies",802,DOLLARS(millions)
2014,H,Accommodation and Food Services,f_50-99,Total income,816,DOLLARS(millions)
2014,H,Accommodation and Food Services,f_50-99,Total expenditure,746,DOLLARS(millions)
2014,H,Accommodation and Food Services,f_50-99,Operating profit before tax,73,DOLLARS(millions)
2014,H,Accommodation and Food Services,f_50-99,Total assets,1056,DOLLARS(millions)
2014,H,Accommodation and Food Services,f_50-99,Fixed tangible assets,608,DOLLARS(millions)
2014,H,Accommodation and Food Services,g_100-199,Activity unit,63,COUNT
2014,H,Accommodation and Food Services,g_100-199,Rolling mean employees,8664,COUNT
2014,H,Accommodation and Food Services,g_100-199,Salaries and wages paid,245,DOLLARS(millions)
2014,H,Accommodation and Food Services,g_100-199,"Sales, government funding, grants and subsidies",792,DOLLARS(millions)
2014,H,Accommodation and Food Services,g_100-199,Total income,807,DOLLARS(millions)
2014,H,Accommodation and Food Services,g_100-199,Total expenditure,728,DOLLARS(millions)
2014,H,Accommodation and Food Services,g_100-199,Operating profit before tax,92,DOLLARS(millions)
2014,H,Accommodation and Food Services,g_100-199,Total assets,1349,DOLLARS(millions)
2014,H,Accommodation and Food Services,g_100-199,Fixed tangible assets,899,DOLLARS(millions)
2014,H,Accommodation and Food Services,h_200+,Activity unit,27,COUNT
2014,H,Accommodation and Food Services,h_200+,Rolling mean employees,17607,COUNT
2014,H,Accommodation and Food Services,h_200+,Salaries and wages paid,459,DOLLARS(millions)
2014,H,Accommodation and Food Services,h_200+,"Sales, government funding, grants and subsidies",1606,DOLLARS(millions)
2014,H,Accommodation and Food Services,h_200+,Total income,1623,DOLLARS(millions)
2014,H,Accommodation and Food Services,h_200+,Total expenditure,1452,DOLLARS(millions)
2014,H,Accommodation and Food Services,h_200+,Operating profit before tax,175,DOLLARS(millions)
2014,H,Accommodation and Food Services,h_200+,Total assets,1915,DOLLARS(millions)
2014,H,Accommodation and Food Services,h_200+,Fixed tangible assets,1068,DOLLARS(millions)
